A/C owner,A/C Registration,ACR,A/C Subtype,Rot Code,Valid_From,Valid_To,A/C Type,A/C Subtype,RST,Local Type,Local Subtype,ICAO Subtype,Base Airport,Category,Name,Active,ETOPS,Flight Range,RFF,Manufacturer,Man: SL#,Engine,Engine Type,Delivered,SELCAL,Aircraft Performance Index,Max Dry Operating Weight,Max Zero Fuel Weight,Max Ramp Weight,Max Takeoff Weight,Max Landing Weight,Hold Capacity(Vol),Hold Capacity(Wgt),Seat_Class_J,Seat_Class_W,Seat_Class_Y,Tail Wind,Cross Wind,Cabin Jump Seat,Cockpit Jump Seat,Remarks,Remaining Fuel,Fuel Supplied,FOB(Dep),Estimated FOB,Estimated FOB Date,Terminal,Stand,Hangar,Gate,Towing_start_position,Towing_end_position,Towing_date_time,Next Information ID,Next Information Time,Last Flight ID,Last Flight Time,Status,Updated Time,Updated by
JJ,PT-XPJ,XPJ,321,X,2026-05-20 05:10:00.000,2051-12-31 23:59:00.000,321,321,321X,[NULL],[NULL],[NULL],GRU,CAT3,PT-XPJ [RNP][INT],Y,[NULL],[NULL],7,AIRBUS,6798,CFM,CFM56-5B3/3,2015-10-21 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,8,212,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: PT-XPJ
MLW: 89.000
OXYGEN: 22
RNP:ONLY GENERIC RNP-AR
LIP:NO
PZ: NO
FUMIGATION: YES
ENGINE: CFM56-5B3/3
SHARKLET: YES
NEW PAINT: NO
AUTHORIZED: AEP, COR, EZE, LIM, ROS, SCL
INTERCHANGE:YES",[NULL],[NULL],[NULL],116KG,2026-05-06 02:00:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,065,955",2026-05-06 00:18:00.000,TAXIOUT,2026-05-05 21:06:06.000,04615857
LA,CC-BAM,BAM,320,L,2026-05-15 08:00:00.000,2051-12-31 23:59:00.000,320,320,320L,[NULL],[NULL],[NULL],LIM,[NULL],CC-BAM ($$),Y,[NULL],[NULL],6,AIRBUS,4697,IAE,V2527-A5,2011-05-09 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,0,168,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: CC-BAM
MLW: 66.000
OXYGEN: 22
RNP: YES
LIP: NO
PZ: YES
FUMIGATION:
ENGINE: V2527-A5-FADEC SCN 18 SelectOne
SHARKLET: NO
SPACEFLEX: NO
NEW PAINT: NO
ADS B OUT:
OTHER:",[NULL],[NULL],[NULL],167KG,2026-05-04 08:27:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,111,146",2026-05-06 12:14:00.000,TAXIOUT,2026-05-05 21:08:08.000,04615857
JJ,PT-XPM,XPM,321,X,2026-05-14 07:55:00.000,2051-12-31 23:59:00.000,321,321,321X,[NULL],[NULL],[NULL],SCL,CAT3,PT-XPM [RNP][INT],Y,[NULL],[NULL],7,AIRBUS,6949,CFM,CFM56-5B3/3,2016-02-04 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,8,212,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: PT-XPM
MLW: 89.000
OXYGEN: 22
RNP: ONLY GENERIC RNP-AR
LIP: NO
PZ: NO
FUMIGATION: YES
ENGINE: CFM56-5B3
SHARKLET: YES
NEW PAINT: YES
AUTHORIZED: AEP, EZE, LIM, MVD, PDP, SCL
INTERCHANGE:YES",[NULL],[NULL],[NULL],163KG,2026-05-06 13:50:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,110,265",2026-05-06 08:25:00.000,ENRT,2026-05-05 20:45:57.000,04615857
JJ,PT-XPQ,XPQ,321,X,2026-05-14 05:10:00.000,2051-12-31 23:59:00.000,321,321,321X,[NULL],[NULL],[NULL],GRU,CAT3,PT-XPQ [RNP][INT],Y,[NULL],[NULL],7,AIRBUS,7081,CFM,CFM56-5B3/3,2016-04-28 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,8,212,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: PT-XPQ
MLW: 89.000
OXYGEN: 22
RNP: ONLY GENERIC RNP-AR
LIP: NO
PZ: NO
FUMIGATION: YES
ENGINE: CFM56-5B3
SHARKLET: YES
SPACEFLEX:
NEW PAINT: YES
AUTHORIZED: AEP, COR, EZE, ROS, SCL",[NULL],[NULL],[NULL],176KG,2026-05-06 13:58:00.000,[NULL],[NULL],[NULL],176KG,2026-05-06 13:58:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,110,329",2026-05-06 12:58:00.000,IDLE,2026-05-05 20:47:15.000,04615857
JJ,PT-XPC,XPC,321,X,2026-05-11 15:50:00.000,2051-12-31 23:59:00.000,321,321,321X,[NULL],[NULL],[NULL],SCL,CAT3,PT-XPC [RNP][INT],Y,[NULL],[NULL],7,AIRBUS,6592,CFM,CFM56-5B3/3,2015-05-07 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,8,212,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: PT-XPC
OXYGEN: 22
RNP:ONLY GENERIC RNP-AR
LIP: NO
PZ: NO
FUMIGAÇÃO: YES
ENGINE: CFM56-5B3
SHARKLET: YES
SPACEFLEX:NO
NEW PAINT:YES
AUTHORIZED:AEP,ASU,COR,EZE,LIM,MVD,ROS,SCL
INTERCHANGE:YES",[NULL],[NULL],[NULL],88KG,2026-05-06 13:59:00.000,[NULL],[NULL],[NULL],88KG,2026-05-06 13:59:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,040,763",2026-05-06 12:55:00.000,IDLE,2026-05-05 20:42:33.000,04615857
JJ,PT-XPF,XPF,321,X,2026-05-11 08:05:00.000,2051-12-31 23:59:00.000,321,321,321X,[NULL],[NULL],[NULL],SCL,CAT3,PT-XPF [RNP][INT],Y,[NULL],[NULL],7,AIRBUS,6670,CFM,CFM56-5B3/3,2015-07-09 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,8,212,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: PT-XPF
OXYGEN: 22
RNP: ONLY GENERIC RNP-AR
LIP: NO
PZ: NO
FUMIGATION: YES
ENGINE: CFM56-5B3
SHARKLET: YES
SPACEFLEX: NO
NEW PAINT: NO
AUTHORIZED: AEP, ASU, COR, EZE, LIM, MVD, ROS, SCL.",[NULL],[NULL],[NULL],99KG,2026-05-06 14:12:00.000,[NULL],[NULL],[NULL],99KG,2026-05-06 14:12:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"10,944,343",2026-05-06 10:56:00.000,ENRT,2026-04-28 14:25:11.000,04820691
LA,CC-BAE,BAE,320,L,2026-05-11 07:15:00.000,2051-12-31 23:59:00.000,320,320,320L,[NULL],[NULL],[NULL],LIM,[NULL],CC-BAE TOBOGAN,Y,[NULL],[NULL],6,AIRBUS,4509,IAE,V2527-A5,2010-11-26 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,0,168,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: CC-BAE
MLW: 66.000
OXYGEN: 22
RNP: YES
LIP: NO
PZ: YES
FUMIGATION:
ENGINE: V2527-A5-FADEC SCN 18
SHARKLET: NO
SPACEFLEX: NO
NEW PAINT: NO
ADS B OUT:
OTHER:",[NULL],[NULL],[NULL],109KG,2026-05-05 21:26:00.000,[NULL],[NULL],[NULL],109KG,2026-05-05 21:26:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,091,609",2026-05-05 19:44:00.000,MAINT,2026-04-28 15:10:17.000,04820691
XL,CC-CYJ,CYJ,319,C,2026-05-11 05:50:00.000,2051-12-31 23:59:00.000,319,319,319C,[NULL],[NULL],[NULL],UIO,[NULL],CC-CYJ ($$$),Y,[NULL],[NULL],6,AIRBUS,3772,IAE,V2524-A5,2009-01-27 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,0,144,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: CC-CYJ
MLW: 62.500
MTOW: 70.000
OXYGEN: 22
RNP: YES
LIP: NO
PZ: NO
FUMIGATION:
ENGINE: V2524-A5 Basic
SHARKLET: NO
SPACEFLEX: NO
NEW PAINT: YES
ADS B OUT:
OTHER:",[NULL],[NULL],[NULL],86KG,2026-05-06 14:40:00.000,[NULL],[NULL],[NULL],86KG,2026-05-06 14:40:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"10,944,319",2026-05-06 05:13:00.000,ENRT,2026-04-28 14:05:45.000,04820691
JJ,PT-XPO,XPO,321,X,2026-05-11 05:10:00.000,2051-12-31 23:59:00.000,321,321,321X,[NULL],[NULL],[NULL],GRU,CAT3,PT-XPO [RNP][INT],Y,[NULL],[NULL],7,AIRBUS,7098,CFM,CFM56-5B3/3,2016-05-18 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,8,212,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: PT-XPO
OXY: 22
RNP:ONLY GENERIC RNP-AR
PZ:NO
FUMIGATION: YES
ENGINE: CFM56-5B3
SHARKLET:YES
SPACEFLEX: NO/ SMARTLAV: YES
NEW PAINT:YES
AUTHORIZED AEP,ASU,EZE,LIM,MVD,PDP,SCL
INTERCHANGE:YES",[NULL],[NULL],[NULL],161KG,2026-05-06 14:43:00.000,[NULL],[NULL],[NULL],161KG,2026-05-06 14:43:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,039,976",2026-05-06 09:54:00.000,ENRT,2026-05-05 20:29:24.000,04615857
JJ,PT-XPI,XPI,321,X,2026-05-10 08:05:00.000,2051-12-31 23:59:00.000,321,321,321X,[NULL],[NULL],[NULL],SCL,CAT3,PT-XPI [RNP][INT],Y,[NULL],[NULL],7,AIRBUS,6729,CFM,CFM56-5B3/3,2015-08-11 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,8,212,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: PT-XPI
OXY: 22
RNP:ONLY GENERIC RNP-AR
LIP:NO
PZ:NO
FUMIGATION: YES
MOTORIZAÇÃO: CFM56-5B3
SHARKLET:YES
SPACEFLEX:NO
NEW PAINT:YES
AUTHORIZED:AEP,ASU,COR, EZE,LIM,MVD,ROS,SCL
INTERCHANGE:YES",[NULL],[NULL],[NULL],244KG,2026-05-06 14:52:00.000,[NULL],[NULL],[NULL],244KG,2026-05-06 14:52:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,040,914",2026-05-06 11:16:00.000,ENRT,2026-04-28 14:19:04.000,04820691
LP,CC-CPI,CPI,319,C,2026-05-07 05:45:00.000,2051-12-31 23:59:00.000,319,319,319C,[NULL],[NULL],[NULL],LIM,CAT3,CC-CPI ($$$),Y,[NULL],[NULL],6,AIRBUS,2585,IAE,V2524-A5,2005-10-25 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,0,144,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: CC-CPI
MLW: 62.500
MTOW: 70.000
OXYGEN: 22
RNP: YES
LIP: NO
PZ: NO
FUMIGATION:
ENGINE: V2524-A5 Basic
SHARKLET: NO
SPACEFLEX: NO
NEW PAINT: NO
ADS B OUT:
OTHER:",[NULL],[NULL],[NULL],87KG,2026-05-06 13:31:00.000,[NULL],[NULL],[NULL],87KG,2026-05-06 13:31:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"10,944,237",2026-05-06 12:42:00.000,IDLE,2026-04-28 13:53:48.000,04820691
LA,CC-COQ,COQ,320,L,2026-05-06 08:55:00.000,2051-12-31 23:59:00.000,320,320,320L,[NULL],[NULL],[NULL],BOG,CAT3,CC-COQ ($$$),Y,[NULL],[NULL],6,AIRBUS,1877,IAE,V2527E-A5,2002-11-08 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,0,168,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: CC-COQ
MLW: 64.500
MTOW: 73.500
OXYGEN: 22
RNP: YES
LIP: NO
PZ: NO
FUMIGATION:
ENGINE:
SHARKLET: NO
SPACEFLEX: NO
NEW PAINT: NO
ADS B OUT:
OTHER:",[NULL],[NULL],[NULL],277KG,2026-05-06 09:06:00.000,[NULL],[NULL],[NULL],277KG,2026-05-06 09:06:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"10,944,164",2026-05-06 10:39:00.000,ENRT,2026-04-28 15:04:39.000,04820691
LA,CC-BAJ,BAJ,320,L,2026-05-06 08:00:00.000,2051-12-31 23:59:00.000,320,320,320L,[NULL],[NULL],[NULL],SCL,[NULL],CC-BAJ ($),Y,[NULL],[NULL],6,AIRBUS,4576,IAE,V2527-A5,2011-02-12 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,0,168,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: CC-BAJ
MLW: 66.000
MTOW: 77.000
OXYGEN: 22
RNP: YES
LIP: NO
PZ: YES
FUMIGATION:
ENGINE: V2527-A5-FADEC SCN 18 SelectOne
SHARKLET: NO
SPACEFLEX: NO
NEW PAINT: NO
ADS B OUT:
OTHER:",[NULL],[NULL],[NULL],82KG,2026-05-06 10:44:00.000,[NULL],[NULL],[NULL],82KG,2026-05-06 10:44:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,864,087",2026-05-06 04:56:00.000,IDLE,2026-04-28 14:51:09.000,04820691
LA,CC-BAA,BAA,320,L,2026-05-05 07:50:00.000,2051-12-31 23:59:00.000,320,320,320L,[NULL],[NULL],[NULL],LIM,[NULL],CC-BAA ($),Y,[NULL],[NULL],6,AIRBUS,4383,IAE,V2527E-A5,2010-07-26 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,0,168,[NULL],[NULL],[NULL],[NULL],"AIRCRAFT: CC-BAA
MLW: 66.000
MTOW: 77.000
OXYGEN: 22
RNP: YES
LIP: NO
PZ: YES
FUMIGATION:
ENGINE: V2527E-A5 Select One
SHARKLET: NO
SPACEFLEX: NO
NEW PAINT: YES
ADS B OUT:
OTHER:",[NULL],[NULL],[NULL],310KG,2026-05-06 13:17:00.000,,[NULL],[NULL],[NULL],310KG,2026-05-06 13:17:00.000,,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,040,895",2026-05-06 09:13:00.000,IDLE,2026-04-29 18:31:00.000,04820691
JJ,PR-TYM,TYM,320,L,2026-05-05 07:10:00.000,2051-12-31 23:59:00.000,320,320,320L,[NULL],[NULL],[NULL],SCL,[NULL],PR-TYM [RNP][INT],Y,[NULL],[NULL],6,AIRBUS,6561,CFM,CFM56-5B4/3,2019-07-17 00:00:00.000,[NULL],0,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],0,8,168,[NULL],[NULL],[NULL],[NULL],"A/C:PR-TYM
MTOW:78000
MLW:66.000
OXY:22
RNP:ONLY GENERIC RNP-AR
LIP:NO
PZ:NO
FUMIGATION:YES
ENGINE:CFM56-5B4/3
SHARKLET:YES
AUTHORIZED: AEP,BOG,BRC,COR,EZE,LIM,MDZ,MVD,PDP,SCL
ADS-B:NO
INTERCHANGE:YES",[NULL],[NULL],[NULL],247KG,2026-05-06 15:29:00.000,[NULL],[NULL],[NULL],247KG,2026-05-06 15:29:00.000,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"11,069,932",2026-05-05 22:18:00.000,ENRT,2026-04-29 18:34:07.000,04820691
